committee,video_id,title,published_at,duration_minutes,duration_formatted,view_count,like_count,url
Armed Services,PmB8OW_cbS8,Department of Defense Fiscal Year 2026 Budget Request,2025-06-12T19:27:01Z,329,5h 29m,6680,39,https://www.youtube.com/watch?v=PmB8OW_cbS8
Financial Services,APw3fLocups,Markup of Various Measures,2025-09-16T19:45:24Z,343,5h 43m,867,16,https://www.youtube.com/watch?v=APw3fLocups
Financial Services,i8dax3RcSiY,Hearing Entitled: Promoting the Health of the Banking Sector,2025-09-12T11:03:30Z,158,2h 38m,981,15,https://www.youtube.com/watch?v=i8dax3RcSiY
Financial Services,qnM3U3zKPcs,Hearing Entitled: Evaluating the Financial Crimes Enforcement Network,2025-09-12T10:13:08Z,127,2h 7m,1721,17,https://www.youtube.com/watch?v=qnM3U3zKPcs
Judiciary,l1_xzIcyMto,Unmanned and Unchecked: Confronting the Rising Threat of Malicious Drone Use in America,2025-09-17T08:43:25Z,162,2h 42m,2138,26,https://www.youtube.com/watch?v=l1_xzIcyMto
Judiciary,7ORoAlN-5v8,"Markup of H.R. 4371, H.R. 4323, H.R. 3770, H.R. 3592, H.R. 4465, H.R. 4499, and more",2025-09-10T19:47:36Z,346,5h 46m,2064,40,https://www.youtube.com/watch?v=7ORoAlN-5v8
Natural Resources,e132CRTy-SE,Unleashing Alaska’s Extraordinary Resource Potential,2025-09-17T05:27:16Z,185,3h 5m,788,6,https://www.youtube.com/watch?v=e132CRTy-SE
Natural Resources,JJNTebEpXLw,Oversight Hearing | Subcommittee on Oversight and Investigations,2025-09-12T10:17:16Z,75,1h 15m,701,8,https://www.youtube.com/watch?v=JJNTebEpXLw
Natural Resources,LCGT_k0rkxA,Legislative Hearing | Indian and Insular Affairs Subcommittee,2025-09-12T09:26:51Z,131,2h 11m,812,7,https://www.youtube.com/watch?v=LCGT_k0rkxA
Natural Resources,h-8JJbqa1CI,Oversight Hearing | Subcommittee on Federal Lands,2025-09-12T00:52:20Z,131,2h 11m,1820,9,https://www.youtube.com/watch?v=h-8JJbqa1CI
Small Business,OWtGvHXvYCQ,Pathway to Capital: The Role of SBA Lending in Supporting Main Street America,2025-09-17T04:19:09Z,141,2h 21m,797,4,https://www.youtube.com/watch?v=OWtGvHXvYCQ
Small Business,MxrXx17S0fM,Leveling the Playing Field: Fostering Opportunities for Small Business Contractors,2025-09-12T23:05:24Z,96,1h 36m,1096,13,https://www.youtube.com/watch?v=MxrXx17S0fM
Small Business,tknc4_piX64,Full Committee Markup,2025-09-11T23:49:35Z,23,23m,195,4,https://www.youtube.com/watch?v=tknc4_piX64
Small Business,k5oMpz0SDbk,Wired for Growth: How Expanding Broadband Can Revitalize Rural Small Businesses,2025-09-04T03:45:21Z,111,1h 51m,1199,11,https://www.youtube.com/watch?v=k5oMpz0SDbk
Oversight and Accountability,PuRnW209tGg,From Protection to Persecution: EPA Enforcement Gone Rogue Under the Biden Administration,2025-09-17T07:58:43Z,173,2h 53m,2875,58,https://www.youtube.com/watch?v=PuRnW209tGg
Oversight and Accountability,RcfPmTZ4jpI,A One Year Update on DOD's Struggling Background Check System,2025-09-17T07:52:37Z,117,1h 57m,1634,20,https://www.youtube.com/watch?v=RcfPmTZ4jpI
Oversight and Accountability,nzm5xYtsxzM,Playing God with the Weather – A Disastrous Forecast,2025-09-17T04:28:03Z,125,2h 5m,4994,157,https://www.youtube.com/watch?v=nzm5xYtsxzM
Oversight and Accountability,-qabY1NiDis,"Better Meals, Fewer Pills: Making Our Children Healthy Again",2025-09-12T16:32:56Z,103,1h 43m,2648,50,https://www.youtube.com/watch?v=-qabY1NiDis
Ethics,SQohD2vK3w4,Public Session,2019-07-25T20:21:47Z,49,49m,427,5,https://www.youtube.com/watch?v=SQohD2vK3w4
House Administration,1DEjqxXvyNo,Subcommittee on Elections Hearing:“Maintaining Election Operations in the Face of Natural Disasters”,2025-09-17T07:57:55Z,51,51m,275,5,https://www.youtube.com/watch?v=1DEjqxXvyNo
Transportation and Infrastructure,vnCaLBn-P8c,Water Resources Development Acts Implementation: Review and Oversight of Past Provisions,2025-09-12T23:25:18Z,184,3h 4m,1679,3,https://www.youtube.com/watch?v=vnCaLBn-P8c
Transportation and Infrastructure,VBVgPujHsOA,"Full Committee Markup (September 3, 2025)",2025-09-04T03:57:58Z,127,2h 7m,1412,4,https://www.youtube.com/watch?v=VBVgPujHsOA
Transportation and Infrastructure,S0suB4Etnw0,Fixing Emergency Management: Examining Improvements to FEMA’s Disaster Response,2025-07-23T16:30:19Z,143,2h 23m,5201,12,https://www.youtube.com/watch?v=S0suB4Etnw0
Transportation and Infrastructure,yj0faNdOB3g,Future of U.S. Maritime Part 1: Review of FY 2026 Federal Maritime Commission Budget Request,2025-07-23T07:09:42Z,83,1h 23m,360,3,https://www.youtube.com/watch?v=yj0faNdOB3g
